number,title,count,first_date,last_date,video_id,source,youtube_title,added_in_this_update
HYMN-012,求祢以真理和愛引導我,6,20220717,20260419,vTG-LQPFtRg,More of Jesus Worship (更多有耶穌的敬拜) / YouTube,求祢以真理和愛引導我 | 同心圓 (TWS 敬拜者使團) | 歌詞MV,no
HYMN-013,美哉主耶穌,6,20220410,20250921,uE_HAcwlxL8,宇宙光百人大合唱 / YouTube,美哉主耶穌,no
HYMN-014,讚美耶和華,6,20210725,20250810,_I4wvMSOiw8,讚美之泉 Stream Of Praise Music Ministries / YouTube,【讚美耶和華  Praise The Lord】官方歌詞版MV (Official Lyrics MV) - 讚美之泉台語敬拜讚美 (1),no
HYMN-015,全地至高是我主,5,20220306,20230820,9AsBFAfnUjM,Fiona Hui / YouTube,全地至高是我主,no
HYMN-016,同證主恩,5,20230416,20231029,ycl3KkFSe6U,sensorMusic / YouTube,同證主恩 sensorMusic (Demo)｜ 原創詩歌 粵語詩歌 詩歌敬拜,no
HYMN-017,因祢榮耀,5,20230212,20260104,WCwTGlsfl5c,信•望•愛詩歌頻道 - Faith·Hope·Love Poetry Channel / YouTube,角聲使團 因祢榮耀,no
HYMN-018,活出愛,5,20210912,20260301,xn0llwzGmTE,福茂唱片 / YouTube,范瑋琪 + 蘇以樂 + 蘇以行 + 蔡語涵 + 蔡岳辰 - 活出愛 Love Life (官方歌詞版) - 『LOVE LIFE』公益主題曲,no
HYMN-019,祢的信實廣大,5,20210905,20251228,mbnRYggcPpw,Isaac Lam / YouTube,祢的信實廣大｜會眾詩歌｜台北懷恩堂主日崇拜,no
HYMN-020,稱謝復活主,5,20220417,20260412,zniTLYgOw34,Penelope Chan / YouTube,稱謝復活主  普天頌讚新修訂版第273首,no
HYMN-021,稱頌上主,5,20210718,20250907,XfEgUshJAmg,7davidpan / YouTube,【稱頌上主】,no
HYMN-022,聖哉三一,5,20211121,20260104,pw5elBqhQMA,傳統聖詩 Traditional Hymns / YouTube,聖哉三一 Holy Holy Holy ｜生命聖詩5（國語）,no
HYMN-023,興起發光,5,20220116,20250126,WehSVicC2M8,Release - Topic / YouTube,興起發光,no
HYMN-024,萬代君主,5,20220130,20241215,PZhCPVB0dp8,RainbowPromise / YouTube,萬代君主,no
HYMN-025,阿爸天父,5,20210801,20231001,KE8X-sG64nk,讚美之泉 Stream Of Praise Music Ministries / YouTube,【阿爸天父 Abba Father】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (13),no
HYMN-026,除祢以外,5,20240107,20260510,a18vlQLgoCc,HKACM - Topic / YouTube,除祢以外,no
HYMN-027,以愛還愛,4,20221002,20250511,2tX58dM4n1s,Release - Topic / YouTube,以愛還愛,no
HYMN-028,何等恩典,4,20220911,20250914,u2M-zzt1Whc,讚美之泉 Stream Of Praise Music Ministries / YouTube,【何等恩典 How Could It Be】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (14),no
HYMN-029,在主前靜默,4,20241006,20241027,5oTLWdZ6m58,內巷 | withinlane / YouTube,[ 在主前靜默 Be still for the presence of the Lord ] - Cover ft. 簡愛 Christine Chien,no
HYMN-030,奉獻什麼,4,20220814,20241117,4qL_VVKRMMY,刘文良 - Topic / YouTube,奉獻什麼,no
HYMN-031,從這代到那代,4,20211114,20241027,kNnZXzsNYPo,讚美之泉 Stream Of Praise Music Ministries / YouTube,【從這代到那代 From Now till Evermore】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (19),no
HYMN-032,恩典之路,4,20220814,20260517,YaJ5gof0YNQ,讚美之泉 Stream Of Praise Music Ministries / YouTube,【恩典之路 The Path of Grace】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (14),no
HYMN-033,愛中相遇,4,20211010,20240804,Muq6RNaLjgU,讚美之泉 Stream Of Praise Music Ministries / YouTube,【愛中相遇 See You Face to Face】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (19),no
HYMN-034,愛如繁星,4,20220731,20250413,QHxdGXUkCFQ,Kennex in Jesus / YouTube,主愛如繁星 - 粵語詩歌 【官方歌詞版 MV】,no
HYMN-035,愛有多少,4,20231105,20250406,SLnz3WWVAOA,天韻合唱團 Heavenly Melody / YouTube,【主愛有多少】動態歌詞版＊＊祢是我一切 ( 天韻與聖詩的頌讚 ) 天韻合唱團 Official MV,no
HYMN-036,教會的主,4,20211024,20240428,Q8PtoXcgfMc,J A piano hymns / YouTube,教會的主 [ 純音樂 cover | 歌詞 ],no
HYMN-037,榮耀歸與祂,4,20220911,20260208,EpVDF3OAY68,Heaven / YouTube,榮耀歸與祂,no
HYMN-038,每一天,4,20220213,20250608,9VisPP2HLtc,Zonder's Music / YouTube,每一天,no
HYMN-039,獻上活祭,4,20230709,20250216,OcfKXc6pItA,GOOD TV DAILY / YouTube,天堂敬拜~獻上活祭（單曲）,no
HYMN-040,真神之愛,4,20220522,20260510,_8JkN8A5ukc,Teresa古今詩歌Hymns♬ / YouTube,【真神之愛】The Love of God│《生命聖詩》 第41首│詞曲 : Frederick M. Lehman│鋼琴：gracehome251│頌唱：Teresa Huang,no
HYMN-041,祂是耶和華,4,20210620,20260111,TVHWJcJN4xg,Tony Xu / YouTube,祂是耶和華,no
HYMN-042,神坐著為王,4,20221030,20260118,e-oDTeztqyE,如此我信後製音樂事工 | The HOPE Music Ministry  / YouTube,神坐著為王,no
HYMN-043,祢是神,4,20220529,20250119,9cSuojDc4iw,全人敬拜 Holistic Worship / YouTube,你是神,no
HYMN-044,耶穌！耶穌！,4,20211205,20241208,kWvRXBLI0uk,讚美之泉 Stream Of Praise Music Ministries / YouTube,"【耶穌 耶穌 Jesus, Jesus】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (10)",no
HYMN-045,萬邦之歌,4,20231105,20231126,rPidR2UgZHo,SCBC Choir・士嘉堡華人浸信會詩班・Toronto / YouTube,萬邦之歌,no
HYMN-046,衷心稱頌上主,4,20210926,20260301,zIxxulCf9hg,elauwong2 / YouTube,衷心稱頌上主 ( 粵語，練習版  ),no
HYMN-047,遍地細說主奇妙,4,20220206,20260222,lnAPNXfE16Q,wah yeung / YouTube,詩歌音樂分享:遍地細說主奇妙。,no
HYMN-048,頌讚全能上帝,4,20210808,20250817,j2D4P98oXW0,All Nations worship & praise Ministries - Topic / YouTube,頌讚全能上帝,no
HYMN-049,願祢的話,4,20210725,20260308,9Qjy1gKQ4dA,Vivian Huang / YouTube,願你的話,no
HYMN-050,高舉尊貴的祢,4,20230101,20250216,WD8QpzZYzrk,Release - Topic / YouTube,高舉尊貴的祢,no
HYMN-051,世上最好的愛,3,20240317,20241222,vLa1kd3yBxI,全人敬拜 Holistic Worship / YouTube,世上最好的愛,no
HYMN-052,仍能讚美,3,20240428,20250622,Bm3j7cxqGP8,Worship Music-AM  / YouTube,仍能讚美,no
HYMN-053,以感恩為祭,3,20230618,20260208,ozRtnVOvYvM,m2kmusic / YouTube,『以感恩為祭 』 團契遊樂園5 應許（基督教詩歌）,no
HYMN-054,以馬內利,3,20211212,20251214,gB3vpIAYhIM,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship / YouTube,以馬內利,no
HYMN-055,傳承使命,3,20220206,20240915,Iz477EjWNX4,HKACM Official 香港基督徒音樂事工協會 / YouTube,【傳承使命】Official Lyric Video - 官方完整版 (大使命),no
HYMN-056,充滿主馨香,3,20220213,20230611,AH-i_-I1PQg,Tze Bun Lee / YouTube,充滿主馨香,no
HYMN-057,同領主餐,3,20210704,20230205,qFYsELkwt5E,Heaven / YouTube,同領主餐,no
HYMN-058,唯有耶穌,3,20221009,20241124,cMFGl4jAp_w,9234 san / YouTube,唯有耶穌,no
HYMN-059,在祢手中,3,20241117,20260412,_YpwaY6KY_Y,Joshua Band 約書亞樂團 / YouTube,在你手中,no
HYMN-060,如明亮晨星,3,20221225,20260419,ZIi6z99ojQE,"潘敏珊, 天天頌揚 / YouTube",主如明亮晨星（國語詩歌）,no
HYMN-061,寶貴十架,3,20211226,20240324,0YJZUyVOQVY,讚美之泉 Stream Of Praise Music Ministries / YouTube,【寶貴十架 Precious Cross】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (11P),no
HYMN-062,幽谷讚美聲,3,20240204,20250727,Pfp-sJRc6M4,彩虹約定 - Topic / YouTube,幽谷讚美聲,no
